City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,metlili chaamba,32.2667,3.6333,25.52,24,75,2.57,DZ,1712696070
292,vila franca do campo,37.7167,-25.4333,18.27,99,100,6.21,PT,1712696070
293,lakhipur,26.0299,90.3041,23.9,40,88,1.51,IN,1712696070
294,karari,25.45,81.4333,27.35,26,100,2.06,IN,1712696070
295,san angelo,31.4638,-100.437,25.12,47,20,7.72,US,1712695798
296,westport,41.1415,-73.3579,25.36,37,0,3.6,US,1712696071
297,sosnovo-ozerskoye,52.5249,111.5418,-3.98,62,13,1.24,RU,1712696071
298,thinadhoo,0.5333,72.9333,29.34,73,90,4.27,MV,1712696071
299,arkhangel'sk,64.5401,40.5433,1.18,100,100,1.0,RU,1712696071
300,canutama,-6.5339,-64.3831,25.58,95,100,0.34,BR,1712696056
301,new norfolk,-42.7826,147.0587,8.84,84,91,1.06,AU,1712696071
302,fale old settlement,-9.3852,-171.2468,30.13,76,95,6.74,TK,1712696071
303,lodwar,3.1191,35.5973,27.89,62,65,2.99,KE,1712696071
304,rio branco,-9.9747,-67.81,29.34,74,75,5.66,BR,1712695821
305,kill devil hills,36.0307,-75.676,23.0,62,75,4.12,US,1712696072
306,cidade velha,14.9167,-23.6167,23.26,73,20,8.75,CV,1712696072
307,madalena,41.2162,-8.3345,10.98,81,26,0.6,PT,1712696072
308,chegdomyn,51.1167,133.0167,-10.89,95,41,0.83,RU,1712696072
309,hakui,36.8833,136.7833,6.23,82,5,2.86,JP,1712696072
310,barra,-11.0894,-43.1417,27.86,60,17,1.72,BR,1712696072
311,rosarito,32.3333,-117.0333,28.29,38,0,5.1,MX,1712695389
312,apricena,41.7839,15.4437,19.05,49,100,4.02,IT,1712696072
313,sironj,24.1,77.7,27.89,34,100,3.47,IN,1712696072
314,sao miguel,-5.4667,-35.3667,27.43,81,98,4.2,BR,1712696073
315,hadibu,12.65,54.0333,26.82,76,22,3.68,YE,1712696073
316,entebbe,0.0644,32.4469,22.18,83,20,0.0,UG,1712696073
317,selma,36.5708,-119.6121,24.02,44,0,1.54,US,1712696073
